period,sectorId,sector-name,fuelId,fuel-name,stateId,state-name,value,value-units
2011,RC,Residential carbon dioxide emissions,CO,Coal,OH,Ohio,0,million metric tons of CO2
2011,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WY,Wyoming,64.377008,million metric tons of CO2
2011,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,WY,Wyoming,8.339871,million metric tons of CO2
2011,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,WY,Wyoming,11.387491,million metric tons of CO2
2011,TT,Total carbon dioxide emissions from all sectors,CO,Coal,WY,Wyoming,44.649646,million metric tons of CO2
2011,EC,Electric Power carbon dioxide emissions,TO,All Fuels,WY,Wyoming,41.572263,million metric tons of CO2
2011,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,.02179,million metric tons of CO2
2011,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WY,Wyoming,.04188,million metric tons of CO2
2011,EC,Electric Power carbon dioxide emissions,CO,Coal,WY,Wyoming,41.508592,million metric tons of CO2
2011,TC,Transportation carbon dioxide emissions,TO,All Fuels,WY,Wyoming,7.558392,million metric tons of CO2
2011,TC,Transportation carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,.983805,million metric tons of CO2
2011,TC,Transportation carbon dioxide emissions,PE,Petroleum,WY,Wyoming,6.574587,million metric tons of CO2
2011,TC,Transportation carbon dioxide emissions,CO,Coal,WY,Wyoming,0,million metric tons of CO2
2011,IC,Industrial carbon dioxide emissions,TO,All Fuels,WY,Wyoming,13.126027,million metric tons of CO2
2011,IC,Industrial carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,5.963659,million metric tons of CO2
2011,IC,Industrial carbon dioxide emissions,PE,Petroleum,WY,Wyoming,4.073086,million metric tons of CO2
2011,IC,Industrial carbon dioxide emissions,CO,Coal,WY,Wyoming,3.089282,million metric tons of CO2
2011,CC,Commercial carbon dioxide emissions,TO,All Fuels,WY,Wyoming,1.155176,million metric tons of CO2
